seq_index,seq_start_row,seq_start_time,recon_error,anomaly_flag
0,0,2025-07-21 00:00:00.602,0.008689979,0
1,16,2025-07-21 00:00:04.566,0.008683895,0
2,32,2025-07-21 00:00:06.981,0.008691655,0
3,48,2025-07-21 00:00:33.431,0.008701866,0
4,64,2025-07-21 00:00:40.938,0.00869198,0
5,80,2025-07-21 00:00:47.014,0.008683305,0
6,96,2025-07-21 00:00:48.835,0.008690611,0
7,112,2025-07-21 00:00:55.569,0.0086856065,0
8,128,2025-07-21 00:01:04.053,0.008720895,0
9,144,2025-07-21 00:01:11.851,0.008722892,0
10,160,2025-07-21 00:01:13.944,0.008712829,0
11,176,2025-07-21 00:01:19.335,0.008725263,0
12,192,2025-07-21 01:02:26.116,0.008694036,0
13,208,2025-07-21 01:03:04.631,0.008698326,0
14,224,2025-07-21 01:03:11.860,0.008689197,0
15,240,2025-07-21 01:03:19.543,0.008679873,0
16,256,2025-07-21 01:03:21.783,0.008695281,0
17,272,2025-07-21 01:03:27.077,0.008683214,0
18,288,2025-07-21 01:03:35.602,0.008682619,0
19,304,2025-07-21 01:03:44.358,0.008686729,0
20,320,2025-07-21 01:03:46.769,0.008679063,0
21,336,2025-07-21 01:03:51.861,0.008684119,0
22,352,2025-07-21 01:03:57.961,0.008685711,0
23,368,2025-07-21 01:04:06.450,0.008689148,0
24,384,2025-07-21 01:04:11.624,0.008688683,0
25,400,2025-07-21 01:04:14.024,0.00869135,0
26,416,2025-07-21 01:04:21.316,0.008702107,0
27,432,2025-07-21 01:04:28.381,0.008688845,0
28,448,2025-07-21 01:04:36.058,0.008679822,0
29,464,2025-07-21 01:04:38.331,0.008690583,0
30,480,2025-07-21 01:04:45.011,0.0086844545,0
31,496,2025-07-21 01:04:52.201,0.008683214,0
32,512,2025-07-21 01:05:00.885,0.008687335,0
33,528,2025-07-21 01:05:03.347,0.00868795,0
34,544,2025-07-21 01:07:49.766,0.008691191,0
35,560,2025-07-21 01:07:55.490,0.008694653,0
36,576,2025-07-21 01:08:03.277,0.008693132,0
37,592,2025-07-21 01:08:09.355,0.008683111,0
38,608,2025-07-21 01:08:11.785,0.008687516,0
39,624,2025-07-21 01:08:19.494,0.008694256,0
40,640,2025-07-21 01:08:26.708,0.008685904,0
